Output File,Benchmark,Prefetcher,Time,Cycles,IPC,LOAD ACCESS,LOAD HIT,LOAD MISS,PREFETCH ACCESS,PREFETCH HIT,PREFETCH MISS,PREFETCH REQUESTED,PREFETCH ISSUED,PREFETCH USEFUL,PREFETCH USELESS,AVERAGE MISS LATENCY
out_ppf-spp-dev-3_19_657_074403.txt,657.xz_s-3167B.champsimtrace.xz,spp_dev, 1 hr 0 min 44 sec) ,726338141,1.37677,3764821,2437644,1327177,342654,238149,104505,983226,761256,124486,11071,166.273
out_ppf-spp-dev-3_5_631_014114.txt,631.deepsjeng_s-928B.champsimtrace.xz,spp_dev, 1 hr 9 min 43 sec) ,788750781,1.26783,994058,717147,276911,93636,92066,1570,103898,102227,346,1277,172.527
out_ppf-spp-dev-3_0_600_000808.txt,600.perlbench_s-210B.champsimtrace.xz,spp_dev, 1 hr 19 min 24 sec) ,634723548,1.57549,2541636,2150353,391283,314715,272675,42040,487083,411017,33356,12637,129
out_ppf-spp-dev-3_18_625_072014.txt,625.x264_s-18B.champsimtrace.xz,spp_dev, 1 hr 2 min 50 sec) ,395873294,2.52606,2946759,2618775,327984,2948483,2370110,578373,7598119,5335091,701321,26407,272.321
out_ppf-spp-dev-3_7_638_021900.txt,638.imagick_s-10316B.champsimtrace.xz,spp_dev, 0 hr 55 min 33 sec) ,341541094,2.92791,8893740,8880453,13287,41159527,40952505,207022,45028208,44580809,181748,27767,23.534
out_ppf-spp-dev-3_8_607_022248.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,spp_dev, 2 hr 15 min 16 sec) ,793348433,1.26048,110217581,103164159,7053422,33878189,26499227,7378962,62599268,44722346,6494566,952050,437.21
out_ppf-spp-dev-3_14_621_044252.txt,621.wrf_s-575B.champsimtrace.xz,spp_dev, 1 hr 52 min 12 sec) ,899793225,1.11137,11893456,9644645,2248811,16373007,11103176,5269831,54447637,40473983,6243237,211469,443.703
out_ppf-spp-dev-3_11_644_033144.txt,644.nab_s-5853B.champsimtrace.xz,spp_dev, 1 hr 11 min 8 sec) ,798120922,1.25294,3907202,3891745,15457,11441146,11241036,200110,12534594,12205058,185588,14432,45.0876
out_ppf-spp-dev-3_16_623_055847.txt,623.xalancbmk_s-700B.champsimtrace.xz,spp_dev, 1 hr 45 min 14 sec) ,1119029250,0.893632,46369682,44262035,2107647,4776344,4643748,132596,7929767,5373050,110348,29949,89.8269
out_ppf-spp-dev-3_12_620_035821.txt,620.omnetpp_s-874B.champsimtrace.xz,spp_dev, 2 hr 0 min 25 sec) ,1877234707,0.532698,16362709,5658565,10704144,28292,3022,25270,88823,85114,28596,1917,149.411
out_ppf-spp-dev-3_9_641_025057.txt,641.leela_s-800B.champsimtrace.xz,spp_dev, 1 hr 7 min 23 sec) ,1031587248,0.96938,2044086,2020939,23147,2270231,2226734,43497,2717706,2530548,41465,6526,318.165
out_ppf-spp-dev-3_6_605_014932.txt,605.mcf_s-665B.champsimtrace.xz,spp_dev, 1 hr 42 min 11 sec) ,2261592426,0.442166,37514839,15990750,21524089,10663368,4827977,5835391,57810020,33436652,7060849,812544,109.304
out_ppf-spp-dev-3_17_654_063505.txt,654.roms_s-842B.champsimtrace.xz,spp_dev, 1 hr 29 min 29 sec) ,748204347,1.33653,1502829,1121563,381266,1251844,46642,1205202,9308662,8547282,1413924,82951,454.144
out_ppf-spp-dev-3_1_627_002048.txt,627.cam4_s-573B.champsimtrace.xz,spp_dev, 1 hr 58 min 12 sec) ,978676955,1.02179,3480506,3030090,450416,6602545,6259169,343376,10712584,8075834,408524,65726,880.463
out_ppf-spp-dev-3_15_649_053246.txt,649.fotonik3d_s-1176B.champsimtrace.xz,spp_dev, 1 hr 47 min 28 sec) ,563054113,1.77603,13174185,10909893,2264292,31444442,24065617,7378825,91148417,82888621,9048465,15378,146.226
out_ppf-spp-dev-3_4_603_012732.txt,603.bwaves_s-3699B.champsimtrace.xz,spp_dev, 0 hr 55 min 15 sec) ,607818377,1.64523,35716,35031,685,37936,4995,32941,190084,188524,32926,29,873.541
out_ppf-spp-dev-3_13_648_043805.txt,648.exchange2_s-1699B.champsimtrace.xz,spp_dev, 0 hr 54 min 40 sec) ,787185099,1.27035,3498,3463,35,5906,5807,99,9626,6641,118,0,88.8874
out_ppf-spp-dev-3_10_619_031434.txt,619.lbm_s-4268B.champsimtrace.xz,spp_dev, 4 hr 48 min 16 sec) ,3139388328,0.318533,8123773,7181112,942661,7577244,395454,7181790,56816635,35975986,7859783,695,1494.59
out_ppf-spp-dev-3_2_602_003316.txt,602.gcc_s-734B.champsimtrace.xz,spp_dev, 1 hr 7 min 57 sec) ,1011469916,0.98866,16488418,16070371,418047,46858791,38627677,8231114,87900672,87004363,7924224,323114,53.7612
out_ppf-spp-dev-3_3_628_003938.txt,628.pop2_s-17B.champsimtrace.xz,spp_dev, 1 hr 9 min 53 sec) ,503016678,1.98801,10074317,8683073,1391244,20041225,16420703,3620522,41658962,32988203,3929035,368140,195.008
