index, total_training, useful_training, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0
1, 187, 187, 124, 5, 35644, 10938
2, 295, 295, 371, 16, 42751, 13474
3, 391, 391, 652, 26, 50038, 16204
4, 416, 416, 865, 32, 56962, 18432
5, 455, 455, 1100, 40, 64326, 20967
6, 716, 560, 1170, 44, 72579, 24130
7, 955, 613, 1170, 44, 79985, 26577
8, 1232, 714, 1203, 46, 87778, 29507
9, 1540, 826, 1239, 50, 95915, 32747
10, 1722, 902, 1266, 52, 104601, 35642
11, 1967, 974, 1266, 52, 113158, 38858
12, 2168, 1043, 1275, 54, 121162, 41438
13, 2392, 1078, 1278, 55, 128326, 43818
14, 2619, 1134, 1281, 56, 136116, 46927
15, 2857, 1191, 1283, 56, 144163, 49951
16, 3081, 1246, 1283, 56, 151714, 52449
17, 3283, 1287, 1295, 58, 159191, 55101
18, 3502, 1377, 1336, 60, 167226, 58278
19, 3727, 1406, 1359, 63, 174933, 60685
20, 3988, 1498, 1376, 64, 182431, 63669
21, 4234, 1547, 1376, 64, 190356, 66473

