index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 81, 81, 453, 315, 315, 20, 1469, 194
2, 151, 151, 624, 486, 486, 22, 2430, 526
3, 162, 162, 689, 551, 551, 25, 2745, 657
4, 183, 183, 721, 583, 583, 25, 2956, 736
5, 183, 183, 721, 583, 583, 25, 2962, 742
6, 183, 183, 721, 583, 583, 25, 2967, 747
7, 191, 191, 769, 631, 631, 25, 3202, 846
8, 191, 191, 797, 659, 659, 26, 3447, 938
9, 215, 215, 965, 827, 827, 32, 4127, 1233
10, 215, 215, 971, 833, 833, 32, 4139, 1245
11, 220, 220, 977, 839, 839, 32, 4154, 1260
12, 221, 221, 1049, 911, 911, 35, 4635, 1448
13, 229, 229, 1097, 959, 959, 36, 5125, 1661
14, 283, 283, 1202, 1064, 1064, 42, 5669, 1909
15, 288, 288, 1238, 1100, 1100, 42, 5950, 2034
16, 291, 291, 1247, 1109, 1109, 42, 5963, 2047
17, 292, 292, 1256, 1118, 1118, 42, 5973, 2057
18, 292, 292, 1256, 1118, 1118, 42, 5979, 2063
19, 294, 294, 1262, 1124, 1124, 42, 5988, 2072
20, 299, 299, 1283, 1145, 1145, 43, 6118, 2131
21, 302, 302, 1315, 1177, 1177, 44, 6375, 2238
22, 305, 305, 1386, 1248, 1248, 47, 6872, 2490
23, 305, 305, 1418, 1280, 1280, 48, 7041, 2593
24, 335, 335, 1528, 1390, 1390, 52, 7660, 2842
25, 336, 336, 1549, 1411, 1411, 53, 7901, 2934
26, 336, 336, 1549, 1411, 1411, 53, 7910, 2942
27, 336, 336, 1549, 1411, 1411, 53, 7914, 2946
28, 352, 352, 1601, 1463, 1463, 54, 8309, 3115
29, 352, 352, 1604, 1466, 1466, 54, 8321, 3127
30, 356, 356, 1613, 1475, 1475, 54, 8337, 3143
31, 356, 356, 1642, 1504, 1504, 55, 8558, 3228
32, 365, 365, 1749, 1611, 1611, 56, 9301, 3531
33, 365, 365, 1800, 1662, 1662, 57, 9714, 3725
34, 365, 365, 1812, 1674, 1674, 58, 9988, 3871
35, 370, 370, 1964, 1826, 1826, 68, 11031, 4321
36, 373, 373, 1995, 1857, 1857, 69, 11257, 4407
37, 373, 373, 2019, 1881, 1881, 70, 11414, 4482
38, 761, 634, 2340, 2202, 2202, 75, 13509, 5181
39, 887, 708, 2457, 2319, 2319, 76, 13809, 5342
40, 893, 714, 2457, 2319, 2319, 76, 13825, 5357
41, 920, 720, 2478, 2332, 2332, 76, 14029, 5494
42, 990, 723, 2574, 2332, 2332, 76, 14755, 5797
43, 996, 724, 2592, 2332, 2332, 76, 14918, 5875
44, 1027, 727, 2621, 2332, 2332, 76, 15144, 5986
45, 1040, 728, 2633, 2332, 2332, 76, 15174, 6016
46, 1151, 767, 2724, 2343, 2343, 76, 15840, 6343
