index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 4201480, ( 1332 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
2, 4201477, ( 1331 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
3, 4201474, ( 1330 ), ( 143 ), ( 3 ), ( 1 ), ( 1 )
4, 41155715, ( 1322 ), ( 0 ), ( 2 ), ( 0 ), ( 1 )
5, 123997713, ( 1287 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
6, 123997729, ( 1286 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
7, 123997745, ( 1285 ), ( 143 ), ( 3 ), ( 1 ), ( 1 )
8, 123997741, ( 1274 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
9, 119617565, ( 1242 ), ( 936 ), ( 3 ), ( 1 ), ( 1 )
10, 119617550, ( 1167 ), ( 0 ), ( 1 ), ( 0 ), ( 1 )
11, 119617552, ( 1165 1249 ), ( 936 0 ), ( 3 2 ), ( 1 1 ), ( 1 1 )
12, 123997775, ( 1164 ), ( 0 ), ( 1 ), ( 0 ), ( 1 )
13, 20026770, ( 1159 ), ( 800 ), ( 3 ), ( 0 ), ( 1 )
14, 41155753, ( 1146 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
15, 17681829, ( 1121 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
16, 17681830, ( 1120 ), ( 144 ), ( 3 ), ( 0 ), ( 1 )
17, 19313150, ( 1113 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
18, 19313151, ( 1112 1216 ), ( 0 0 ), ( 2 1 ), ( 1 1 ), ( 1 1 )
19, 20026744, ( 1097 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
20, 123997763, ( 1039 1045 ), ( 143 143 ), ( 3 3 ), ( 0 0 ), ( 1 1 )
21, 19313169, ( 1036 ), ( 393 ), ( 3 ), ( 0 ), ( 1 )
22, 123997777, ( 1008 1163 ), ( 143 0 ), ( 3 2 ), ( 0 0 ), ( 1 1 )
23, 116349719, ( 989 ), ( 0 ), ( 1 ), ( 0 ), ( 1 )
24, 41155714, ( 970 1323 ), ( 0 0 ), ( 2 1 ), ( 0 0 ), ( 1 1 )
25, 41155757, ( 968 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
