index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 7228, 5944, 7734, 7143, 7143, 73, 8099, 5526
2, 13782, 10941, 14906, 13682, 13682, 79, 15673, 12517
3, 23811, 18927, 24290, 22998, 22998, 89, 24683, 21315
4, 30438, 24196, 30898, 29543, 29543, 90, 31814, 28281
5, 37707, 29831, 38187, 36756, 36756, 91, 39467, 35811
6, 45717, 36139, 46179, 44670, 44670, 91, 47450, 43693
7, 51549, 40584, 52016, 50419, 50419, 91, 54365, 50511
8, 59456, 46753, 59932, 58163, 58163, 91, 62388, 58452
9, 67333, 52902, 67805, 65972, 65972, 91, 70237, 66224
10, 74929, 58903, 75385, 73492, 73492, 92, 78264, 74176
11, 80553, 63127, 81599, 79249, 79249, 97, 85297, 80893
12, 87702, 68670, 88174, 85743, 85743, 101, 92086, 87615
13, 95365, 74616, 95858, 93356, 93356, 109, 99707, 95101
14, 103056, 80668, 103535, 100966, 100966, 111, 107720, 103054
15, 110135, 86234, 110629, 107971, 107971, 111, 115154, 110411
16, 115080, 90071, 115769, 113076, 113076, 111, 121855, 117049
17, 122850, 96041, 123368, 120605, 120605, 112, 129615, 124747
18, 130732, 102310, 131207, 128346, 128346, 113, 137550, 132625
19, 138234, 108207, 138686, 135745, 135745, 114, 145336, 140357
20, 145698, 114126, 146197, 143207, 143207, 114, 153138, 148089
21, 152903, 119719, 153396, 150360, 150360, 115, 160766, 155672
22, 159726, 125147, 160216, 157110, 157110, 115, 168100, 162962
23, 167267, 131079, 167722, 164593, 164593, 116, 175798, 170617
24, 174517, 136763, 175008, 171823, 171823, 116, 183116, 177892
25, 181394, 142121, 181902, 178602, 178602, 117, 190611, 185331
26, 189102, 148088, 189584, 186265, 186265, 117, 198452, 193122
27, 200460, 157294, 200869, 197543, 197543, 132, 207860, 202490
28, 207279, 162790, 207753, 204401, 204401, 132, 215142, 209746
29, 215088, 168966, 215499, 212030, 212030, 132, 223019, 217588
30, 300701, 172948, 302224, 216487, 216487, 147, 263325, 222875
31, 306866, 178056, 307275, 221397, 221397, 186, 272253, 231082
32, 310165, 180816, 310581, 224703, 224703, 187, 280177, 238759
33, 312846, 183044, 313222, 227344, 227344, 187, 287185, 245621
34, 316143, 185832, 316536, 230658, 230658, 187, 295226, 253535
35, 319454, 188567, 319872, 233994, 233994, 189, 303277, 261480
36, 323680, 192112, 324117, 238239, 238239, 189, 311750, 269842
37, 326362, 194319, 326780, 240902, 240902, 189, 318786, 276786
38, 329409, 196893, 329774, 243896, 243896, 190, 326407, 284345
39, 332520, 199531, 332927, 247049, 247049, 191, 334146, 292008
40, 333930, 200668, 334440, 248562, 248562, 191, 339750, 297552
41, 336299, 202718, 337195, 250827, 250827, 199, 345992, 303484
42, 339826, 205495, 340396, 253383, 253383, 216, 352993, 310163
43, 342126, 207315, 342463, 255450, 255450, 217, 359123, 316228
44, 345098, 209854, 345515, 258502, 258502, 217, 366698, 323754
45, 348184, 212467, 348579, 261566, 261566, 217, 374490, 331503
46, 349916, 213908, 350230, 263217, 263217, 217, 380064, 337035
47, 353283, 216791, 353656, 266643, 266643, 217, 388245, 345154
48, 357224, 220083, 357623, 270610, 270610, 219, 396364, 353211
49, 362523, 224485, 362942, 275678, 275678, 237, 404234, 360766
50, 368289, 229189, 368689, 281425, 281425, 237, 412720, 369206
51, 371062, 231586, 371484, 284220, 3, 0, 416665, 373089
52, 372266, 232570, 372613, 285349, 1132, 0, 418287, 374698
53, 373644, 233766, 374043, 286779, 2562, 0, 420257, 376656
54, 376927, 236567, 377255, 289991, 5774, 0, 424117, 380502
55, 377763, 237269, 378163, 290899, 6682, 0, 426068, 382438
56, 378363, 237800, 378811, 291547, 7330, 0, 427776, 384135
57, 379015, 238322, 379461, 292197, 7980, 0, 429476, 385820
58, 379647, 238851, 380112, 292848, 8631, 0, 431120, 387461
59, 380957, 239930, 381414, 294150, 9933, 0, 433795, 390122
60, 381651, 240494, 382083, 294819, 10602, 0, 435573, 391890
61, 382278, 241008, 382710, 295446, 11229, 0, 437223, 393530
62, 382913, 241526, 383352, 296088, 11871, 0, 438843, 395137
63, 385921, 244052, 386259, 298995, 14778, 0, 442345, 398626
64, 386814, 244806, 387204, 299940, 15723, 0, 444277, 400547
