index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 36547, 0, 38595, 889, 889, 71, 43863, 2
2, 77871, 0, 79919, 889, 889, 71, 91109, 2
3, 116433, 0, 118481, 889, 889, 71, 136311, 2
4, 155408, 0, 157456, 889, 889, 71, 179849, 2
5, 195004, 0, 197052, 889, 889, 71, 226264, 2
6, 233115, 0, 235163, 889, 889, 71, 268924, 2
7, 273339, 0, 275387, 889, 889, 71, 315720, 5
8, 313173, 0, 315221, 889, 889, 71, 360334, 5
9, 353728, 0, 355776, 889, 889, 71, 406870, 11
10, 393523, 0, 395571, 889, 889, 71, 452198, 13
11, 433110, 0, 435158, 889, 889, 71, 498785, 22
12, 472363, 0, 474411, 889, 889, 71, 542959, 23
13, 511703, 0, 513751, 889, 889, 71, 589999, 27
14, 551913, 0, 553961, 889, 889, 71, 637251, 29
15, 591118, 0, 593166, 889, 889, 71, 682836, 29
16, 630615, 0, 632663, 889, 889, 71, 728927, 29
17, 670528, 0, 672576, 889, 889, 71, 774778, 29
18, 709037, 0, 711085, 889, 889, 71, 820763, 29
19, 749826, 0, 751874, 889, 889, 71, 866904, 31
20, 789645, 0, 791693, 889, 889, 71, 914117, 31
21, 829151, 0, 831199, 889, 889, 71, 958184, 31
22, 869098, 0, 871146, 889, 889, 71, 1005138, 31
23, 908571, 0, 910619, 889, 889, 71, 1049584, 31
24, 948588, 0, 950636, 889, 889, 71, 1094814, 31
25, 989552, 0, 991600, 889, 889, 71, 1140411, 31
26, 1027965, 0, 1030013, 889, 889, 71, 1184955, 37
27, 1069307, 0, 1071355, 889, 889, 71, 1232492, 37
28, 1108086, 0, 1110134, 889, 889, 71, 1275561, 43
29, 1150221, 0, 1152269, 889, 889, 71, 1323705, 43
30, 1189308, 0, 1191356, 889, 889, 71, 1367721, 43
31, 1230733, 0, 1232781, 889, 889, 71, 1415661, 44
32, 1269594, 0, 1271642, 889, 889, 71, 1459222, 44
33, 1309687, 0, 1311735, 889, 889, 71, 1505571, 44
34, 1348584, 0, 1350632, 889, 889, 71, 1550177, 44
35, 1389272, 0, 1391320, 889, 889, 71, 1597258, 47
36, 1428354, 0, 1430402, 889, 889, 71, 1641301, 47
37, 1468911, 0, 1470959, 889, 889, 71, 1689881, 47
38, 1509240, 0, 1511288, 889, 889, 71, 1736539, 50
39, 1549313, 0, 1551361, 889, 889, 71, 1781986, 50
40, 1589729, 0, 1591777, 889, 889, 71, 1828759, 53
