CELLNAME,IPC,L1D_Prefetch_Requested,L1D_Prefetch_Issued,L1D_Prefetch_Useful,L1D_Prefetch_Useless,L1D_Average_Miss_Latency,L2C_Prefetch_Requested,L2C_Prefetch_Issued,L2C_Prefetch_Useful,L2C_Prefetch_Useless,L2C_Average_Miss_Latency
out_next-line-degree-5_0_600_033705.txt,1.6169,0,0,0,0,41.3624,9399165,8950615,763431,396544,108.442
out_next-line-degree-5_10_619_064521.txt,0.318903,0,0,0,0,856.822,35460532,29776159,6813702,546,1440.67
out_next-line-degree-5_11_644_074107.txt,1.25306,0,0,0,0,11.5444,16924376,16920844,209357,5754,124.869
out_next-line-degree-5_12_620_074556.txt,0.501782,0,0,0,0,110.568,65530485,64271690,13446804,20455926,207.523
out_next-line-degree-5_13_648_080457.txt,1.27035,0,0,0,0,404.556,12864,11626,97,0,186.074
out_next-line-degree-5_14_621_085233.txt,1.09799,0,0,0,0,263.889,51947074,36652115,6199555,473413,481.975
out_next-line-degree-5_15_649_085935.txt,1.70151,0,0,0,0,79.5128,59737961,56771671,9241212,17472,150.309
out_next-line-degree-5_1_627_035351.txt,1.02147,0,0,0,0,569.46,13805593,12468847,657341,257671,852.461
out_next-line-degree-5_16_623_095031.txt,0.772045,0,0,0,0,26.6636,160686938,153262672,22984055,33201812,26.2009
out_next-line-degree-5_17_654_104315.txt,1.30764,0,0,0,0,414.313,6951609,6503948,1339487,41978,426.934
out_next-line-degree-5_18_625_104545.txt,2.50893,0,0,0,0,199.781,10470235,9454022,695233,37391,324.893
out_next-line-degree-5_19_657_111246.txt,1.32512,0,0,0,0,82.1996,16960693,16741386,2091056,4088992,160.045
out_next-line-degree-5_2_602_042017.txt,0.994576,0,0,0,0,14.9961,77619158,77494291,8276500,336723,120.67
out_next-line-degree-5_3_628_043129.txt,1.9836,0,0,0,0,95.7185,37548743,33701644,4407224,563683,198.489
out_next-line-degree-5_4_603_045657.txt,1.64442,0,0,0,0,899.355,167766,167096,32528,58,1014.82
out_next-line-degree-5_5_631_052501.txt,1.26538,0,0,0,0,70.7882,4357513,4298759,192432,673853,180.47
out_next-line-degree-5_6_605_053955.txt,0.275317,0,0,0,0,227.783,152765963,141558955,20404439,37236680,323.508
out_next-line-degree-5_7_638_055001.txt,2.92462,0,0,0,0,11.2587,38605064,38425975,130515,6929,49.9946
out_next-line-degree-5_8_607_055131.txt,1.7326,0,0,0,0,21.4605,167571695,110920377,9043216,851299,363.786
out_next-line-degree-5_9_641_063217.txt,0.969302,0,0,0,0,18.0322,9595804,9489509,85141,50390,139.285
